status,selected_side,stat,period,line,conditional_on_appearance,hat_m,expected_minutes,hat_p,g,mu,beta,bundle_hash,n_draws,seed,player_name,player_id,book,commence_time,quote_ts,feature_as_of,season_type,over_model_probability,over_raw_implied_probability,over_vig_free_probability,over_edge,over_ev,under_model_probability,under_raw_implied_probability,under_vig_free_probability,under_edge,under_ev,reason
PRICED,over,PTS,full_game,9.5,True,26.543115615844727,26.522368121717747,11.435935974121094,0.14697996836226443,11.582915942483359,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Jordan Goodwin,1630692,BetRivers,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.63,0.4672897196261682,0.43340416202907345,0.19659583797092656,0.34819999999999984,0.37,0.6108949416342413,0.5665958379709265,-0.1965958379709265,-0.39433121019108286,
PRICED,over,PTS,full_game,8.5,True,26.543115615844727,26.522368121717747,11.435935974121094,0.14697996836226443,11.582915942483359,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Jordan Goodwin,1630692,BetMGM,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.68975,0.5121951219512195,0.4796954314720812,0.21005456852791876,0.34665476190476185,0.31025,0.5555555555555556,0.5203045685279188,-0.21005456852791882,-0.44154999999999994,
PRICED,over,PTS,full_game,10.5,True,26.228897094726562,26.208149600599583,9.920047760009766,0.1736983175517913,10.093746077561557,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Derrick Jones,1627884,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.44725,0.3333333333333333,0.3125,0.13474999999999998,0.3417499999999999,0.5527500000000001,0.7333333333333333,0.6875,-0.13474999999999993,-0.24624999999999989,
PRICED,over,PTS,full_game,10.5,True,24.841453552246094,24.820706058119114,13.153303146362305,0.08412677494648925,13.237429921308793,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Reed Sheppard,1642263,FanDuel,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.6755,0.504950495049505,0.47614107883817425,0.19935892116182574,0.3377549019607844,0.3245,0.5555555555555556,0.5238589211618258,-0.19935892116182574,-0.4159,
PRICED,over,PTS,full_game,9.5,True,21.870361328125,22.073147173964237,11.323517799377441,0.044482027608289086,11.36799982698573,0.4915060991395564,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Klay Thompson,202691,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.60775,0.45454545454545453,0.4248366013071895,0.18291339869281054,0.3370500000000002,0.39225,0.6153846153846154,0.5751633986928104,-0.18291339869281042,-0.36259375000000005,
PRICED,over,PTS,full_game,15.5,True,34.018096923828125,34.176092681407994,18.46609115600586,0.0743639184426799,18.540455074448538,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,OG Anunoby,1628384,FanDuel,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.68,0.5098039215686274,0.48124062031015497,0.19875937968984508,0.333846153846154,0.31999999999999995,0.5495495495495496,0.5187593796898449,-0.19875937968984492,-0.417704918032787,
PRICED,over,PTS,full_game,10.5,True,25.51629066467285,25.495543170545872,11.054433822631836,0.15562935524424365,11.21006317787608,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Landry Shamet,1629013,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.5425,0.40816326530612246,0.3838517538054269,0.15864824619457307,0.329125,0.4575,0.6551724137931034,0.6161482461945731,-0.15864824619457307,-0.30171052631578954,
PRICED,over,PTS,full_game,9.5,True,24.841453552246094,24.820706058119114,13.153303146362305,0.08412677494648925,13.237429921308793,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Reed Sheppard,1642263,DraftKings,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.7325,0.5515695067264574,0.519675254742772,0.21282474525722805,0.32802845528455293,0.26749999999999996,0.5098039215686274,0.480324745257228,-0.21282474525722805,-0.4752884615384616,
PRICED,over,PTS,full_game,8.5,True,27.703153610229492,27.682406116102513,12.198012351989746,0.11686478149592155,12.314877133485668,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Wendell Carter Jr,1628976,FanDuel,2026-02-12,2026-02-10 14:47:44,2026-02-10,Regular Season,0.74975,0.5652173913043478,0.5281576830249397,0.22159231697506032,0.3264807692307692,0.25025,0.504950495049505,0.4718423169750604,-0.22159231697506043,-0.504406862745098,
PRICED,over,PTS,full_game,9.5,True,21.870361328125,22.073147173964237,11.323517799377441,0.044482027608289086,11.36799982698573,0.4915060991395564,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Klay Thompson,202691,BetRivers,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.60775,0.45871559633027525,0.42590545549125436,0.18184454450874565,0.3248949999999998,0.39225,0.6183206106870229,0.5740945445087458,-0.18184454450874576,-0.3656203703703704,
PRICED,over,PTS,full_game,9.5,True,26.65955352783203,26.638806033705052,10.706583023071289,0.09390418693592344,10.800487210007212,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Harrison Barnes,203084,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.57525,0.43478260869565216,0.40847201210287437,0.16677798789712567,0.323075,0.42474999999999996,0.6296296296296297,0.5915279878971256,-0.1667779878971256,-0.32539705882352943,
PRICED,over,PTS,full_game,9.5,True,26.543115615844727,26.522368121717747,11.435935974121094,0.14697996836226443,11.582915942483359,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Jordan Goodwin,1630692,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.63,0.47619047619047616,0.4458598726114649,0.18414012738853508,0.32300000000000006,0.37,0.5918367346938775,0.554140127388535,-0.18414012738853502,-0.37482758620689655,
PRICED,over,PTS,full_game,16.5,True,34.018096923828125,34.176092681407994,18.46609115600586,0.0743639184426799,18.540455074448538,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,OG Anunoby,1628384,BetRivers,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.62325,0.4716981132075472,0.43694311172035644,0.18630688827964353,0.32128999999999996,0.37675000000000003,0.6078431372549019,0.5630568882796436,-0.1863068882796436,-0.38018548387096773,
PRICED,over,PTS,full_game,10.5,True,22.980871200561523,23.18365704640076,13.551445007324219,-0.04473851957369768,13.50670648775052,0.4915060991395564,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Keldon Johnson,1629640,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.692,0.5238095238095238,0.48987854251012153,0.20212145748987842,0.3210909090909091,0.30800000000000005,0.5454545454545454,0.5101214574898786,-0.20212145748987853,-0.4353333333333332,
PRICED,over,PTS,full_game,10.5,True,24.841453552246094,24.820706058119114,13.153303146362305,0.08412677494648925,13.237429921308793,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Reed Sheppard,1642263,BetMGM,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.6755,0.5121951219512195,0.4796954314720812,0.19580456852791878,0.3188333333333333,0.3245,0.5555555555555556,0.5203045685279188,-0.19580456852791883,-0.4159,
PRICED,over,PTS,full_game,23.5,True,33.81440353393555,33.972399291515416,23.20493507385254,0.1280203400202326,23.33295541387277,0.6420909777808131,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Dillon Brooks,1628415,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.479,0.36363636363636365,0.33999999999999997,0.139,0.3172499999999999,0.521,0.7058823529411765,0.66,-0.139,-0.2619166666666666,
